PHF8	0.003876411122097762
RELT	0.0011661036192272215
PLEKHM1	0.002071188488938532
KCNA5	0.0032324459632546787
ZBTB17	0.0018127610807986791
CEP55	0.0012955024191097218
BMX	0.0027166680680663262
DCAF12L2	0.0012955024191097218
SETD5	0.003747685397897354
SLC35B3	0.0014248675652081193
LRRC4C	0.0015541990575224113
HSF5	0.0031035519701337485
BCR	0.002587639459808976
POLR1C	0.001036671165560615
PCNP	0.0005186048130531453
DTD1	0.001036671165560615
ATP2B2	0.005033428219616721
CAPN2	0.003103551970133748
SYMPK	0.0037476853978973537
GDPD2	0.0023294812819419633
FGG	0.002587639459808976
TAF1L	0.008233061743369333
FLG	0.020945442151071806
PCBP1	0.0006481718818561699
LCE2A	0.0006481718818561698
ELMO3	0.0003890040904660159
SH2B1	0.004005103192514066
DPM1	0.002329481281941963
P2RY1	0.0019419916117606594
CLK2	0.002458577197767523
PDE3A	0.004390977481058347
PKLR	0.002329481281941963
PASK	0.003876411122097762
CCDC144NL	0.0005186048130531453
PALB2	0.008105480247828489
SBNO2	0.002845663022539572
BNC2	0.002845663022539572
KDR	0.005675037613572474
EPHA5	0.007594817727824048
NCOR1	0.039667883593108855
DNAH6	0.007977865098503529
VWA5B1	0.001424867565208119
F11R	0.0018127610807986791
NSL1	0.0015541990575224113
PKHD1L1	0.012424371323334599
CEP89	0.0019419916117606596
FGF16	0.0007777052968750898
GCA	0.0005186048130531453
TADA1	0.0011661036192272215
PACRGL	0.0005186048130531453
VWA3B	0.0031035519701337485
WDR59	0.0012955024191097216
RASAL3	0.002974624323228713
PDE12	0.0009072050581099048
PRUNE2	0.008615604307287248
ANO8	0.002587639459808976
TUBGCP6	0.0036189260199128432
SLC44A3	0.0005186048130531453
ZC3H12C	0.0031035519701337485
MYO15A	0.0051618174059760834
CYP3A4	0.0019419916117606594
NEK10	0.0031035519701337485
BCLAF1	0.003876411122097762
MLH3	0.0034901329881442244
IPO13	0.002329481281941963
ADAMDEC1	0.001424867565208119
ARHGEF38	0.0016834968960525987
ENTHD1	0.002329481281941963
EIF2S2	0.001554199057522411
TBC1D8	0.004776548885545686
IARS2	0.002329481281941963
HCN3	0.002845663022539572
RLIM	0.002200351712332299
TBC1D5	0.002587639459808976
ZNF648	0.0037476853978973537
TEX11	0.0018127610807986796
IPMK	0.0005186048130531453
PREX1	0.0051618174059760834
CFAP65	0.005675037613572473
CCDC158	0.0028456630225395722
VIPAS39	0.0007777052968750898
GLT1D1	0.0006481718818561698
KCTD20	0.0012955024191097218
GALNT8	0.0034901329881442244
GPM6B	0.0016834968960525987
CRTAM	0.0020711884889385323
PHKG2	0.0009072050581099047
ITGA6	0.002458577197767523
SLITRK3	0.0036189260199128432
SOX1	0.0006481718818561697
MAGEA10	0.0012955024191097218
MYO19	0.001036671165560615
TADA3	0.0011661036192272213
TALDO1	0.0007777052968750899
CCT6B	0.002458577197767523
SCO2	0.0010366711655606152
OPHN1	0.002071188488938532
PEG3	0.007594817727824048
HLA-DRB5	0.0014248675652081193
NPY5R	0.0003890040904660159
OR1D5	0.0010366711655606152
KMT2D	0.04144884184792861
PCNT	0.009125189906200341
CHAT	0.002071188488938532
TMEM179B	0.0006481718818561698
PDE4DIP	0.02218541582640879
RHBDL3	0.0014248675652081193
CSMD1	0.013939397376159169
SLC27A1	0.0007777052968750898
CDK9	0.0006481718818561698
REG3A	0.0009072050581099048
OSBPL8	0.002845663022539572
SRP9	0.00038900409046601584
SCNM1	0.001036671165560615
OSBPL1A	0.002587639459808976
ALDH3B2	0.0018127610807986796
L1CAM	0.008233061743369333
ZNF783	0.0007777052968750899
MMP3	0.0018127610807986794
PLA2G15	0.0012955024191097218
SCN8A	0.005931445794666047
PEX5L	0.002974624323228713
COL4A5	0.005418494817342487
CNTNAP3	0.0032324459632546787
CPNE8	0.0027166680680663262
THOP1	0.0012955024191097218
P3H1	0.0028456630225395722
EPM2AIP1	0.0018127610807986794
FMN2	0.009888558691046833
SLC7A11	0.0011661036192272215
METTL5	0.0011661036192272213
TIPARP	0.0016834968960525987
GFOD1	0.0007777052968750898
CLEC1B	0.0006481718818561698
FKBP14	0.0005186048130531453
TMEM240	0.0001297016839394434
EIF3D	0.0011661036192272213
BNC1	0.0034901329881442253
POM121L2	0.0032324459632546787
ZAN	0.007850216295394471
SORBS3	0.001554199057522411
KNTC1	0.003747685397897354
CCNA2	0.0015541990575224113
MYEOV	0.0011661036192272217
PTBP1	0.002329481281941963
ZNF267	0.002200351712332299
ANKRD30B	0.003490132988144225
HOXB2	0.0012955024191097218
RAD21	0.004005103192514067
PDZK1IP1	0.0007777052968750897
CHD2	0.005290172938551335
CDH1	0.11689665466410065
DMXL1	0.00695573236767614
PTCHD1	0.003490132988144225
IFT140	0.002845663022539572
MARK1	0.003747685397897354
REPIN1	0.0016834968960525983
PRKAG3	0.0012955024191097218
PCDH10	0.004390977481058348
CEP350	0.007977865098503529
ADAMTS20	0.005931445794666047
SPSB2	0.0006481718818561698
MYH10	0.005418494817342487
DHX37	0.002329481281941963
HECTD2	0.001424867565208119
AJAP1	0.002071188488938532
HYAL1	0.0005186048130531453
CENPF	0.005803258531011316
RAI1	0.002974624323228713
DPEP2	0.00025936971409478186
CRMP1	0.0024585771977675224
NFKBIA	0.0022003517123322996
ARID3B	0.0014248675652081193
KCNA7	0.0012955024191097218
TCEAL4	0.0001297016839394434
SELENOO	0.0005186048130531453
EPB41	0.0019419916117606592
PRDM2	0.004390977481058347
GAS2L3	0.001554199057522411
ATP2A1	0.0045195349363382304
