brca_metabric:MB-0582	LIFR,SETD2,TP53,MYO3A,DNAH2,MAP3K1
brca_metabric:MB-0586	ERBB4,SYNE1,MUC16,MEN1
brca_metabric:MB-0593	ERBB3,CDH1
brca_metabric:MB-0605	SF3B1,PIK3CA,CDH1
brca_metabric:MB-0621	PIK3CA,CDH1
brca_metabric:MB-0653	RB1,AKAP9,BRAF,AHNAK2,CLK3,UBR5,ALK,LAMA2,DNAH5,ERBB2,BIRC6,PIK3CA,ZFP36L1,TAF1,CDH1,USH2A,DNAH2,TP53,PTEN,CTNNA1
brca_metabric:MB-0657	BIRC6,CBFB,PIK3CA,CDH1
brca_metabric:MB-2556	AHNAK
brca_metabric:MB-2744	SYNE1,COL22A1,PIK3CA,USH2A,KDM6A
brca_metabric:MB-2754	KMT2D,CDH1
brca_metabric:MB-2769	AHNAK2,L1CAM,CDH1
brca_metabric:MB-2770	AKAP9,ARID1B,AHNAK,FANCA,RYR2,DNAH5,STAB2,PDE4DIP,BCAS3
brca_metabric:MB-2840	NCOR1,DNAH5,CDH1,TBX3,PIK3CA
brca_metabric:MB-2845	DNAH5,AHNAK2,CBFB,PIK3CA,MAP3K1
brca_metabric:MB-2854	CHD1,RYR2,TP53,HERC2,CDH1
brca_metabric:MB-2900	COL22A1,LAMB3,SYNE1,TP53
brca_metabric:MB-3002	PTPRD,ACVRL1,ERBB2,CDH1,EGFR
brca_metabric:MB-3021	RB1,ARID1B,BRIP1,NCOA3,DNAH5,RYR2,STAB2,CDH1,BIRC6
brca_metabric:MB-3049	USH2A,SYNE1,PIK3CA,CDH1
brca_metabric:MB-3085	DNAH2,STAB2,MYO3A,TG
brca_metabric:MB-3110	PTPRM,ALK,ASXL1,COL22A1,ARID5B,TBX3,PIK3CA
brca_metabric:MB-3378	FOXP1,MAP3K1,PIK3CA,CDH1
brca_metabric:MB-3379	AHNAK,FAM20C,CDH1,PIK3CA,ARID1A
brca_metabric:MB-3389	CHD1,MYO1A
brca_metabric:MB-3429	AHNAK2,AHNAK
brca_metabric:MB-4005	HERC2,CBFB,UBR5,TP53
brca_metabric:MB-4033	COL6A3,PRKCE,FANCA,KMT2C,TP53,MAP2K4,THADA,RPGR,CDH1
brca_metabric:MB-4289	COL6A3,MUC16,CDH1,TBX3,EP300
brca_metabric:MB-4667	NCOR1,AKAP9,RB1,AKT1,SGCD,THSD7A,LAMA2,NCOR2,GATA3,ASXL1,COL22A1,RPGR,USP9X,UTRN,NF1,KMT2D,ERBB4,PTPRD,SYNE1,TAF1,ARID1A,CDH1,EP300,JAK1,USH2A,MAP3K10,DCAF4L2,COL6A3,MUC16,TP53,CTNNA1,SETD1A,MAP3K1
brca_metabric:MB-4695	ASXL1,GLDC,PRKACG,AHNAK2,PALLD,PIK3CA
brca_metabric:MB-4697	ALK,FANCA,SETD2,LARGE1,NOTCH1,COL12A1,MBL2,CCND3,AFDN,PIK3CA,EP300
